instance_family,instance_type,region,os,price_per_hour,vcpu,ram_gb,ladder_rank
c5,c5.large,af-south-1,Linux,0.114,2,4.0,1
c5,c5.large,af-south-1,RHEL,0.143,2,4.0,1
c5,c5.large,af-south-1,SUSE,0.17,2,4.0,1
c5,c5.large,af-south-1,Windows,0.206,2,4.0,1
c5,c5.large,ap-northeast-2,Linux,0.096,2,4.0,1
c5,c5.large,ap-northeast-2,RHEL,0.125,2,4.0,1
c5,c5.large,ap-northeast-2,SUSE,0.152,2,4.0,1
c5,c5.large,ap-northeast-2,Windows,0.188,2,4.0,1
c5,c5.large,ap-northeast-3,Linux,0.107,2,4.0,1
c5,c5.large,ap-northeast-3,RHEL,0.136,2,4.0,1
c5,c5.large,ap-northeast-3,SUSE,0.163,2,4.0,1
c5,c5.large,ap-northeast-3,Windows,0.199,2,4.0,1
c5,c5.large,ap-south-2,Linux,0.085,2,4.0,1
c5,c5.large,ap-south-2,RHEL,0.114,2,4.0,1
c5,c5.large,ap-south-2,SUSE,0.141,2,4.0,1
c5,c5.large,ap-south-2,Windows,0.177,2,4.0,1
c5,c5.large,ap-southeast-1,Linux,0.098,2,4.0,1
c5,c5.large,ap-southeast-1,RHEL,0.127,2,4.0,1
c5,c5.large,ap-southeast-1,SUSE,0.154,2,4.0,1
c5,c5.large,ap-southeast-1,Windows,0.19,2,4.0,1
c5,c5.large,ap-southeast-2,Linux,0.111,2,4.0,1
c5,c5.large,ap-southeast-2,RHEL,0.14,2,4.0,1
c5,c5.large,ap-southeast-2,SUSE,0.167,2,4.0,1
c5,c5.large,ap-southeast-2,Windows,0.203,2,4.0,1
c5,c5.large,ap-southeast-4,Linux,0.111,2,4.0,1
c5,c5.large,ap-southeast-4,RHEL,0.14,2,4.0,1
c5,c5.large,ap-southeast-4,SUSE,0.167,2,4.0,1
c5,c5.large,ap-southeast-4,Windows,0.203,2,4.0,1
c5,c5.large,ca-central-1,Linux,0.093,2,4.0,1
c5,c5.large,ca-central-1,RHEL,0.122,2,4.0,1
c5,c5.large,ca-central-1,SUSE,0.149,2,4.0,1
c5,c5.large,ca-central-1,Windows,0.185,2,4.0,1
c5,c5.large,ca-west-1,Linux,0.093,2,4.0,1
c5,c5.large,ca-west-1,RHEL,0.122,2,4.0,1
c5,c5.large,ca-west-1,SUSE,0.149,2,4.0,1
c5,c5.large,ca-west-1,Windows,0.185,2,4.0,1
c5,c5.large,eu-central-1,Linux,0.097,2,4.0,1
c5,c5.large,eu-central-1,RHEL,0.126,2,4.0,1
c5,c5.large,eu-central-1,SUSE,0.153,2,4.0,1
c5,c5.large,eu-central-1,Windows,0.189,2,4.0,1
c5,c5.large,eu-north-1,Linux,0.091,2,4.0,1
c5,c5.large,eu-north-1,RHEL,0.12,2,4.0,1
c5,c5.large,eu-north-1,SUSE,0.147,2,4.0,1
c5,c5.large,eu-north-1,Windows,0.183,2,4.0,1
c5,c5.large,eu-south-1,Linux,0.101,2,4.0,1
c5,c5.large,eu-south-1,RHEL,0.13,2,4.0,1
c5,c5.large,eu-south-1,SUSE,0.157,2,4.0,1
c5,c5.large,eu-south-1,Windows,0.193,2,4.0,1
c5,c5.large,eu-west-1,Linux,0.096,2,4.0,1
c5,c5.large,eu-west-1,RHEL,0.125,2,4.0,1
c5,c5.large,eu-west-1,SUSE,0.152,2,4.0,1
c5,c5.large,eu-west-1,Windows,0.188,2,4.0,1
c5,c5.large,eu-west-2,Linux,0.101,2,4.0,1
c5,c5.large,eu-west-2,RHEL,0.13,2,4.0,1
c5,c5.large,eu-west-2,SUSE,0.157,2,4.0,1
c5,c5.large,eu-west-2,Windows,0.193,2,4.0,1
c5,c5.large,eu-west-3,Linux,0.101,2,4.0,1
c5,c5.large,eu-west-3,RHEL,0.13,2,4.0,1
c5,c5.large,eu-west-3,SUSE,0.157,2,4.0,1
c5,c5.large,eu-west-3,Windows,0.193,2,4.0,1
c5,c5.large,il-central-1,Linux,0.101,2,4.0,1
c5,c5.large,il-central-1,RHEL,0.13,2,4.0,1
c5,c5.large,il-central-1,SUSE,0.157,2,4.0,1
c5,c5.large,il-central-1,Windows,0.193,2,4.0,1
